offer_id,title,address,district,price,total_area,rooms,floor,floors_total,house_type,year_built,description
323093206,"133.4 м², 3/10 этаж","Москва, ЦАО, р-н Тверской, Большая Грузинская ул., 69",Тверской,235000000.0,133.4,,3,10,не указан,2008.0,Квартира 133.4 м²
320666850,"40.0 м², 5/9 этаж","Москва, ЦАО, р-н Тверской, ул. Бутырский Вал, 28",Тверской,18800000.0,40.0,,5,9,не указан,,Квартира 40.0 м²
321435291,"169.57 м², 11/13 этаж","Москва, ЦАО, р-н Мещанский, Садовая-Сухаревская ул., 14",Мещанский,361353670.0,169.57,,11,13,не указан,,Квартира 169.57 м²
323093209,"125.6 м², 3/10 этаж","Москва, ЦАО, р-н Тверской, Большая Грузинская ул., 69",Тверской,235000000.0,125.6,,3,10,не указан,2008.0,Квартира 125.6 м²
323172503,"47.0 м², 8/12 этаж","Москва, ЦАО, р-н Мещанский, пер. Васнецова, 3",Мещанский,22300000.0,47.0,,8,12,не указан,1974.0,Квартира 47.0 м²
322039695,"92.5 м², 3/9 этаж","Москва, ЦАО, р-н Мещанский, Малая Сухаревская пл.",Мещанский,177600000.0,92.5,,3,9,не указан,,Квартира 92.5 м²
322832760,"110.0 м², 6/8 этаж","Москва, ЦАО, р-н Мещанский, Цветной бул., 32А",Мещанский,165000000.0,110.0,,6,8,не указан,2019.0,Квартира 110.0 м²
319017836,"22.7 м², 3/3 этаж","Москва, ЦАО, р-н Тверской, Новослободская ул., 20",Тверской,10442000.0,22.7,,3,3,не указан,,Квартира 22.7 м²
321435276,"175.85 м², 10/13 этаж","Москва, ЦАО, р-н Мещанский, Садовая-Сухаревская ул., 14",Мещанский,395662500.0,175.85,,10,13,не указан,,Квартира 175.85 м²
323189253,"133.4 м², 3/10 этаж","Москва, ЦАО, р-н Тверской, Большая Грузинская ул., 69",Тверской,235000000.0,133.4,,3,10,не указан,,Квартира 133.4 м²
311764460,"200.0 м², 10/13 этаж","Москва, ЦАО, р-н Тверской, ул. Фадеева, 4А",Тверской,500000000.0,200.0,,10,13,не указан,2013.0,Квартира 200.0 м²
322039708,"89.8 м², 4/9 этаж","Москва, ЦАО, р-н Мещанский, Малая Сухаревская пл.",Мещанский,202050000.0,89.8,,4,9,не указан,,Квартира 89.8 м²
317574705,"250.25 м², 4/5 этаж","Москва, ЦАО, р-н Красносельский, ул. Сретенка, 26/1",Красносельский,200000000.0,250.25,,4,5,не указан,,Квартира 250.25 м²
323058405,"53.3 м², 6/7 этаж","Москва, Старопименовский пер., 6",Не указан,35000000.0,53.3,,6,7,не указан,1938.0,Квартира 53.3 м²
322039701,"142.7 м², 7/9 этаж","Москва, ЦАО, р-н Мещанский, Малая Сухаревская пл.",Мещанский,348188000.0,142.7,,7,9,не указан,,Квартира 142.7 м²
312944147,"250.0 м², 4/5 этаж","Москва, ЦАО, р-н Красносельский, ул. Сретенка, 26/1",Красносельский,200000000.0,250.0,,4,5,не указан,1913.0,Квартира 250.0 м²
320613489,"65.5 м², 4/9 этаж","Москва, 1-я Тверская-Ямская ул., 2С2",Не указан,77800000.0,65.5,,4,9,не указан,,Квартира 65.5 м²
322039723,"228.3 м², 7/9 этаж","Москва, ЦАО, р-н Мещанский, Малая Сухаревская пл.",Мещанский,539886000.0,228.3,,7,9,не указан,,Квартира 228.3 м²
318292962,"130.7 м², 5/10 этаж","Москва, ЦАО, р-н Тверской, Большая Грузинская ул., 69",Тверской,129000000.0,130.7,,5,10,не указан,2009.0,Квартира 130.7 м²
319826257,"1-комн. квартира, 65.0 м², 5/5 этаж","Москва, ЦАО, р-н Мещанский, Мещанская ул., 1К3",Мещанский,24000000.0,65.0,1.0,5,5,не указан,1902.0,Квартира 65.0 м²
322039693,"116.6 м², 8/9 этаж","Москва, ЦАО, р-н Мещанский, Малая Сухаревская пл.",Мещанский,317152000.0,116.6,,8,9,не указан,,Квартира 116.6 м²
322337009,"110.0 м², 6/8 этаж","Москва, ЦАО, р-н Мещанский, Цветной бул., 32А",Мещанский,165000000.0,110.0,,6,8,не указан,2019.0,Квартира 110.0 м²
321846155,"30-комн. квартира, 34.4 м², 13/15 этаж","Москва, ЦАО, р-н Тверской, Селезневская ул., 30К3",Тверской,20800000.0,34.4,30.0,13,15,не указан,1973.0,Квартира 34.4 м²
322039700,"146.6 м², 7/9 этаж","Москва, ЦАО, р-н Мещанский, Малая Сухаревская пл.",Мещанский,350374000.0,146.6,,7,9,не указан,,Квартира 146.6 м²
318786219,"110.0 м², 6/8 этаж","Москва, ЦАО, р-н Мещанский, Цветной бул., 32А",Мещанский,98000000.0,110.0,,6,8,не указан,2019.0,Квартира 110.0 м²
322361913,"31.7 м², 4/9 этаж","Москва, ЦАО, р-н Тверской, Самотечная ул., 13",Тверской,16200000.0,31.7,,4,9,не указан,1963.0,Квартира 31.7 м²
322526991,"88.0 м², 22/41 этаж","Москва, САО, р-н Беговой, Северный административный округ, Слава жилой комплекс",Беговой,85283264.0,88.0,,22,41,не указан,,Квартира 88.0 м²
321072149,"130.0 м², 6/7 этаж","Москва, ЦАО, р-н Тверской, Тверская ул., 30/2С1",Тверской,84500000.0,130.0,,6,7,не указан,1913.0,Квартира 130.0 м²
